City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Agoura Hills,-118.7655456,34.1481692,263,170,168,58,109,337,294,354,327,74,302,Low,MODERATE,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,MODERATE,76.85,15.92,12.25,10,2.75,10,3.85,4.44,3.89,10,3.75,0.48,0.53,4.38,0.02,0.19,0.77,0.02,0.04,0.03,0.75,19881,0.103,6523639,1488562,13587600,25790914,-0.12,8354385,17487063,10736584,9587957,8354385,15994083,16591561,16348770,4899474,0,18669054,24091133,633776,1022954,656122
Alameda,-121.899142,37.6090291,186,243,232,58,238,85,12,123,94,35,172,Moderate,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,68.73,21.28,13.66,10,3.13,4.08,3.25,2.78,1.39,8.56,0.6,0.55,0.36,7.24,0.05,0.99,0.65,0.08,0.13,0.43,0.12,78841,0.085,52004745,7182594,96309969,269966475,0.17,53634807,97529266,40426963,39618996,53634807,97332735,99639351,106471286,267840743,0,526820898,809905076,22010042,36311735,116942589
Albany,-122.2978,37.8869,101,188,125,58,27,75,116,61,57,74,1,Moderate,LOW,MODERATE,LOW,HIGH,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,60.13,16.97,10.83,10,2.13,3.6,3.55,2.22,0.83,10,0,0.43,0.7,2.63,-0.03,1.05,0.71,0.1,0.15,0.09,0,20031,0.067,11827857,4500554,24762576,35378704,1.7,8745093,20116277,NA,3243041,8745093,NA,20481005,19827362,37146108,0,97788819,137957439,3581900,5346210,3065019
Alhambra,-118.127,34.0953,66,108,208,58,81,42,94,19,41,74,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,55.53,11.81,13.24,10,2.63,2.4,3.5,1.39,0.56,10,0,0.34,0.41,3.34,0.01,1.2,0.7,0.13,0.16,0.22,0,83261,0.129,19661312,5892763,49291925,121231589,-0.04,23341523,69669385,24968370,25558005,23341523,65023238,66612073,66260344,145248968,0,351699679,501456580,15228829,19995160,26742592
Aliso Viejo,-117.7258122,33.5761376,357,309,163,58,27,337,368,388,382,74,1,Low,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,HIGH,87.75,30,12.16,10,2.13,10,4.3,4.72,4.44,10,0,1.72,0.54,24.93,-0.03,0.03,0.86,0.01,0.02,0.01,0,50412,0.075,29473356,1182025,13480892,25172175,0.04,32734433,19068426,30335238,32375144,32734433,20217610,20264249,19000653,871568,0,6439008,7475971,274755,387540,363669
American Canyon,-122.255183,38.1785248,282,213,283,58,49,297,294,230,355,74,260,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,HIGH,79.28,18.76,14.58,10,2.38,9.28,3.85,3.61,4.17,10,2.65,0.49,0.25,5.95,-0.01,0.34,0.77,0.05,0.03,0.15,0.53,19957,0.1,10109280,1698692,11215021,45579249,0.14,10028201,20579626,7878782,9582105,10028201,19247202,20344391,18809977,15597588,0,29083238,37612572,2101460,1522272,6874448
Anaheim,-117.911732,33.8347516,8,12,24,20,49,182,116,149,130,74,227,High,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,38.49,1.58,3.17,4,2.38,6.96,3.55,3.06,1.94,10,1.85,0.05,1.62,0.8,-0.01,0.63,0.71,0.07,0.11,0.13,0.37,353676,0.105,56641000,70575000,2017362000,1248256000,-0.27,19956000,439209000,52564000,58676000,19956000,389799000,412996000,379206000,790303000,0,2033246111,2868091423,86071000,131393851,161507000
Anderson,-122.2973,40.4482,196,170,271,53,302,109,160,91,94,74,325,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,69.7,15.92,14.41,8.7,3.38,4.8,3.6,2.5,1.39,10,5,0.42,0.27,1.74,0.07,0.9,0.72,0.09,0.13,NA,NA,10565,0.078,993048,571668,3982106,14818978,0.13,3733444,8928286,2957093,3600481,3733444,8001944,9507180,9045607,12521506,885348,34338391,47903644,1271597,1987513,NA
Angels Camp,-120.540503,38.0695732,269,288,222,58,347,216,226,189,182,25,147,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,77.88,25.66,13.41,10,3.63,7.6,3.7,3.33,2.5,8,0.05,0.65,0.39,6.12,0.09,0.55,0.74,0.06,0.09,0.5,0.01,3963,0.056,1954729,319375,3964731,10245427,0.29,2542228,3883398,1549696,2119885,2542228,3419248,3506079,3994978,5655420,0,16804551,22839383,634108,885976,5116228
Antioch,-121.805789,38.0049214,302,297,309,58,397,137,94,123,107,74,222,Low,LOW,LOW,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,81.44,26.57,15,10,4.25,5.92,3.5,2.78,1.67,10,1.75,0.68,0.09,6.95,0.14,0.76,0.7,0.08,0.12,0.16,0.35,111605,0.12,45041516,6483862,14114787,152339207,0.18,47604565,69553820,34471225,43254201,47604565,54696347,62553786,70499960,115202765,0,283720744,407488401,12810953,18329162,23809819
